Date,Description,Amount,Balance
2026-07-01,PAYROLL DIRECT DEPOSIT,2500.00,3700.00
2026-07-01,GROCERIES - WHOLE FOODS MARKET,-52.30,3647.70
2026-07-01,RETAIL - AMAZON,-63.87,3583.83
2026-07-01,TRANSPORT - LYFT RIDE,-14.25,3569.58
2026-07-02,ENTERTAINMENT - NETFLIX,-15.49,3554.09
2026-07-03,GROCERIES - TRADER JOES,-41.18,3512.91
2026-07-03,INTEREST PAYMENT,1.25,3514.16
2026-07-03,TRANSPORT - SHELL GAS STATION,-38.40,3475.76
2026-07-04,GROCERIES - TRADER JOES,-41.18,3434.58
2026-07-04,ENTERTAINMENT - NETFLIX,-15.49,3419.09
2026-07-04,UTILITIES - ELECTRIC BILL,-89.20,3329.89
2026-07-04,FREELANCE - CLIENT INVOICE,850.00,4179.89
2026-07-05,HEALTH - PHARMACY,-27.10,4152.79
2026-07-05,ENTERTAINMENT - SPOTIFY,-9.99,4142.80
2026-07-06,INTEREST PAYMENT,1.25,4144.05
2026-07-07,FREELANCE - CLIENT INVOICE,850.00,4994.05
2026-07-07,UTILITIES - INTERNET BILL,-59.99,4934.06
2026-07-07,ENTERTAINMENT - SPOTIFY,-9.99,4924.07
2026-07-08,DINING - COFFEE SHOP,-4.75,4919.32
2026-07-08,RETAIL - AMAZON,-63.87,4855.45
2026-07-08,GROCERIES - TRADER JOES,-41.18,4814.27
2026-07-08,GROCERIES - WHOLE FOODS MARKET,-52.30,4761.97
2026-07-09,HEALTH - PHARMACY,-27.10,4734.87
2026-07-09,DINING - COFFEE SHOP,-4.75,4730.12
2026-07-09,PAYROLL DIRECT DEPOSIT,2500.00,7230.12
2026-07-09,UTILITIES - ELECTRIC BILL,-89.20,7140.92
2026-07-11,GROCERIES - TRADER JOES,-41.18,7099.74
2026-07-11,FREELANCE - CLIENT INVOICE,850.00,7949.74
2026-07-12,DINING - COFFEE SHOP,-4.75,7944.99
2026-07-12,FREELANCE - CLIENT INVOICE,850.00,8794.99
2026-07-13,GROCERIES - TRADER JOES,-41.18,8753.81
2026-07-14,TRANSPORT - SHELL GAS STATION,-38.40,8715.41
2026-07-14,UTILITIES - ELECTRIC BILL,-89.20,8626.21
2026-07-14,TRANSPORT - LYFT RIDE,-14.25,8611.96
2026-07-15,HEALTH - PHARMACY,-27.10,8584.86
2026-07-17,FREELANCE - CLIENT INVOICE,850.00,9434.86
2026-07-18,UTILITIES - INTERNET BILL,-59.99,9374.87
2026-07-18,DINING - PIZZA NIGHT,-23.50,9351.37
2026-07-18,UTILITIES - INTERNET BILL,-59.99,9291.38
2026-07-19,UTILITIES - INTERNET BILL,-59.99,9231.39
2026-07-19,DINING - COFFEE SHOP,-4.75,9226.64
2026-07-20,HEALTH - PHARMACY,-27.10,9199.54
2026-07-20,UTILITIES - ELECTRIC BILL,-89.20,9110.34
2026-07-21,RETAIL - AMAZON,-63.87,9046.47
2026-07-21,INTEREST PAYMENT,1.25,9047.72
2026-07-22,HEALTH - PHARMACY,-27.10,9020.62
2026-07-23,HEALTH - PHARMACY,-27.10,8993.52
2026-07-23,GROCERIES - TRADER JOES,-41.18,8952.34
2026-07-23,ENTERTAINMENT - SPOTIFY,-9.99,8942.35
2026-07-24,HEALTH - PHARMACY,-27.10,8915.25
2026-07-24,DINING - PIZZA NIGHT,-23.50,8891.75
2026-07-24,ENTERTAINMENT - NETFLIX,-15.49,8876.26
2026-07-25,RETAIL - AMAZON,-63.87,8812.39
2026-07-25,DINING - COFFEE SHOP,-4.75,8807.64
2026-07-26,DINING - PIZZA NIGHT,-23.50,8784.14
2026-07-26,TRANSPORT - LYFT RIDE,-14.25,8769.89
2026-07-28,TRANSPORT - SHELL GAS STATION,-38.40,8731.49
2026-07-28,UTILITIES - ELECTRIC BILL,-89.20,8642.29
2026-07-29,INTEREST PAYMENT,1.25,8643.54
2026-07-31,HEALTH - PHARMACY,-27.10,8616.44
